trial_id,case_id,seed,regime,step,time,particle_count,effective_sample_size,resampled
mu_1__dt_0p01__r_1p075__v_1p15__thrust_0p4__noise_0p01__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35__near_escape__bayes_floor_particle_mpc__seed_002,mu_1__dt_0p01__r_1p075__v_1p15__thrust_0p4__noise_0p01__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35,2,near_escape,51,0.51,512,512,false
mu_1__dt_0p01__r_1p075__v_1p15__thrust_0p4__noise_0p01__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35__near_escape__bayes_floor_particle_mpc__seed_002,mu_1__dt_0p01__r_1p075__v_1p15__thrust_0p4__noise_0p01__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35,2,near_escape,52,0.52,512,512,false
mu_1__dt_0p01__r_1p075__v_1p15__thrust_0p4__noise_0p01__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35__near_escape__bayes_floor_particle_mpc__seed_002,mu_1__dt_0p01__r_1p075__v_1p15__thrust_0p4__noise_0p01__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35,2,near_escape,53,0.53,512,512,false
mu_1__dt_0p01__r_1p075__v_1p15__thrust_0p4__noise_0p01__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35__near_escape__bayes_floor_particle_mpc__seed_002,mu_1__dt_0p01__r_1p075__v_1p15__thrust_0p4__noise_0p01__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35,2,near_escape,54,0.54,512,512,false
mu_1__dt_0p01__r_1p075__v_1p15__thrust_0p4__noise_0p01__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35__near_escape__bayes_floor_particle_mpc__seed_002,mu_1__dt_0p01__r_1p075__v_1p15__thrust_0p4__noise_0p01__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35,2,near_escape,55,0.55,512,512,false
mu_1__dt_0p01__r_1p075__v_1p15__thrust_0p4__noise_0p01__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35__near_escape__bayes_floor_particle_mpc__seed_002,mu_1__dt_0p01__r_1p075__v_1p15__thrust_0p4__noise_0p01__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35,2,near_escape,56,0.56,512,512,false
mu_1__dt_0p01__r_1p075__v_1p15__thrust_0p4__noise_0p01__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35__near_escape__bayes_floor_particle_mpc__seed_002,mu_1__dt_0p01__r_1p075__v_1p15__thrust_0p4__noise_0p01__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35,2,near_escape,57,0.57,512,512,false
mu_1__dt_0p01__r_1p075__v_1p15__thrust_0p4__noise_0p01__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35__near_escape__bayes_floor_particle_mpc__seed_002,mu_1__dt_0p01__r_1p075__v_1p15__thrust_0p4__noise_0p01__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35,2,near_escape,58,0.58,512,512,false
mu_1__dt_0p01__r_1p075__v_1p15__thrust_0p4__noise_0p01__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35__near_escape__bayes_floor_particle_mpc__seed_002,mu_1__dt_0p01__r_1p075__v_1p15__thrust_0p4__noise_0p01__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35,2,near_escape,59,0.59,512,512,false
mu_1__dt_0p01__r_1p075__v_1p15__thrust_0p4__noise_0p01__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35__near_escape__bayes_floor_particle_mpc__seed_002,mu_1__dt_0p01__r_1p075__v_1p15__thrust_0p4__noise_0p01__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35,2,near_escape,60,0.6,512,512,false
mu_1__dt_0p01__r_1p075__v_1p15__thrust_0p4__noise_0p01__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35__near_escape__bayes_floor_particle_mpc__seed_002,mu_1__dt_0p01__r_1p075__v_1p15__thrust_0p4__noise_0p01__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35,2,near_escape,61,0.61,512,512,false
mu_1__dt_0p01__r_1p075__v_1p15__thrust_0p4__noise_0p01__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35__near_escape__bayes_floor_particle_mpc__seed_002,mu_1__dt_0p01__r_1p075__v_1p15__thrust_0p4__noise_0p01__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35,2,near_escape,62,0.62,512,512,false
mu_1__dt_0p01__r_1p075__v_1p15__thrust_0p4__noise_0p01__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35__near_escape__bayes_floor_particle_mpc__seed_002,mu_1__dt_0p01__r_1p075__v_1p15__thrust_0p4__noise_0p01__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35,2,near_escape,63,0.63,512,512,false
mu_1__dt_0p01__r_1p075__v_1p15__thrust_0p4__noise_0p01__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35__near_escape__bayes_floor_particle_mpc__seed_002,mu_1__dt_0p01__r_1p075__v_1p15__thrust_0p4__noise_0p01__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35,2,near_escape,64,0.64,512,512,false
mu_1__dt_0p01__r_1p075__v_1p15__thrust_0p4__noise_0p01__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35__near_escape__bayes_floor_particle_mpc__seed_002,mu_1__dt_0p01__r_1p075__v_1p15__thrust_0p4__noise_0p01__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35,2,near_escape,65,0.65,512,512,false
mu_1__dt_0p01__r_1p075__v_1p15__thrust_0p4__noise_0p01__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35__near_escape__bayes_floor_particle_mpc__seed_002,mu_1__dt_0p01__r_1p075__v_1p15__thrust_0p4__noise_0p01__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35,2,near_escape,66,0.66,512,512,false
mu_1__dt_0p01__r_1p075__v_1p15__thrust_0p4__noise_0p01__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35__near_escape__bayes_floor_particle_mpc__seed_002,mu_1__dt_0p01__r_1p075__v_1p15__thrust_0p4__noise_0p01__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35,2,near_escape,67,0.67,512,512,false
mu_1__dt_0p01__r_1p075__v_1p15__thrust_0p4__noise_0p01__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35__near_escape__bayes_floor_particle_mpc__seed_002,mu_1__dt_0p01__r_1p075__v_1p15__thrust_0p4__noise_0p01__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35,2,near_escape,68,0.68,512,512,false
mu_1__dt_0p01__r_1p075__v_1p15__thrust_0p4__noise_0p01__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35__near_escape__bayes_floor_particle_mpc__seed_002,mu_1__dt_0p01__r_1p075__v_1p15__thrust_0p4__noise_0p01__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35,2,near_escape,69,0.69,512,512,false
