i,dEdt,g,R
155,0.0014957953163413779,0.0902410117697576,-0.08874521645341622
156,-0.0007916133539978415,0.0876439753589438,-0.08843558871294165
157,-0.0032021340421806294,0.0855777400607588,-0.08877987410293943
158,-0.005282109688681327,0.0842155549579441,-0.08949766464662542
159,-0.006657902793042694,0.08372794079840369,-0.09038584359144639
160,-0.007165384247420831,0.084242941062266,-0.09140832530968683
161,-0.00688501303100493,0.08578123647575554,-0.09266624950676047
162,-0.006060512652636962,0.08821045412874472,-0.09427096678138168
163,-0.004952702232633693,0.09125620435528628,-0.09620890658791997
164,-0.0037242903591140214,0.09457443690868635,-0.09829872726780037
165,-0.0024234219928089273,0.09784266609808061,-0.10026608809088954
166,-0.0010573269557242332,0.1008062353412018,-0.10186356229692603
167,0.00031725519994692253,0.10325563415944425,-0.10293837895949733
168,0.001564797198528256,0.10498236465453357,-0.10341756745600532
169,0.0025190762812142,0.10578412109229632,-0.10326504481108212
170,0.0030546958793564033,0.105535218624995,-0.1024805227456386
171,0.0031221086426122674,0.10426719150752692,-0.10114508286491465
172,0.0027412696838050032,0.10218910943682628,-0.09944783975302128
173,0.0019923253287658788,0.0996224036829475,-0.09763007835418162
174,0.0010240860779667932,0.09688770439685523,-0.09586361831888844
175,5.279106075246898e-05,0.09421644133115699,-0.09416365027040452
176,-0.0006867980083807845,0.0917416650792091,-0.09242846308758988
177,-0.0010303444287028812,0.08956129272381308,-0.09059163715251596
178,-0.0009579040645443654,0.08781264766801518,-0.08877055173255954
179,-0.0006015929463384362,0.0866943006770921,-0.08729589362343054
180,-0.00017913798014886073,0.08641468656850661,-0.08659382454865547
181,0.00011542828808630556,0.08709786223626505,-0.08698243394817874
182,0.0002140750385667689,0.08870466281501335,-0.08849058777644658
183,0.00021440975841520438,0.09102121356951832,-0.09080680381110312
184,0.0003199259208615107,0.09372569266023366,-0.09340576673937215
185,0.0007058183402650353,0.09648738117524,-0.09578156283497496
186,0.0014028705696129545,0.09902638255370363,-0.09762351198409068
187,0.002288008787403706,0.10110370660514152,-0.09881569781773782
188,0.003179311272990773,0.10248569812795671,-0.09930638685496594
189,0.003941551751287117,0.10295211406089563,-0.09901056230960852
190,0.0045093942545238325,0.1023651087577708,-0.09785571450324697
191,0.004823951321537637,0.1007484442341472,-0.09592449291260956
192,0.0047631333741868925,0.09831083312756915,-0.09354769975338226
193,0.004150231218353409,0.09538892212720906,-0.09123869090885565
194,0.002851980222256162,0.09234379968166377,-0.08949181945940761
195,0.0008974579281838535,0.08947665539244098,-0.08857919746425713
196,-0.0014678994101800513,0.0870095898796767,-0.08847748928985676
197,-0.0038316535736539342,0.08512135644498772,-0.08895301001864166
198,-0.0057464047020350795,0.08398566086495503,-0.08973206556699011
199,-0.0068867093952961755,0.08376700749995056,-0.09065371689524673
