i,dEdt,g,R
149,-0.0035829070697773677,0.05007548752929223,-0.0536583945990696
150,-0.00493332396581686,0.048328456181353695,-0.053261780147170555
151,-0.005790360939051387,0.04705431032111485,-0.05284467126016624
152,-0.005906539910867134,0.04639020419088353,-0.05229674410175066
153,-0.005137272361683827,0.0464546115433556,-0.05159188390503943
154,-0.0035269618781712114,0.047267888398016565,-0.05079485027618778
155,-0.0013355035709512117,0.0487022463686472,-0.05003774993959841
156,0.0010295335044699927,0.05050828418242633,-0.04947875067795634
157,0.0031538139465096676,0.05241140389704738,-0.049257589950537715
158,0.004747798114538765,0.05421281514669492,-0.04946501703215615
159,0.005689871012794556,0.05581813216937298,-0.050128261156578424
160,0.005980683421122339,0.057175853213704574,-0.051195169792582235
161,0.005679952977297342,0.058191439115840474,-0.05251148613854313
162,0.004885009012071222,0.05870539172217521,-0.05382038271010399
163,0.0037445762224963958,0.05855890484794714,-0.05481432862545074
164,0.002459618031927152,0.05768693958078882,-0.05522732154886167
165,0.0012344886491541807,0.05615939087803821,-0.05492490222888403
166,0.0001929233879462422,0.05414374420304931,-0.053950820815103065
167,-0.0006761367308382032,0.0518287345669743,-0.052504871297812505
168,-0.0014874341293643484,0.04937385378812469,-0.05086128791748904
169,-0.0023588409363978838,0.04692200172603661,-0.049280842662434494
170,-0.0033116334951825074,0.0446566240367138,-0.047968257531896305
171,-0.0042295311131490265,0.04284327098141301,-0.047072802094562036
172,-0.00489372682324609,0.04180239240315116,-0.04669611922639725
173,-0.0050810454248143636,0.04181112374070594,-0.0468921691655203
174,-0.004678861725076096,0.04298668786077483,-0.047665549585850925
175,-0.003739847097196769,0.045221669331712906,-0.048961516428909675
176,-0.002430603555875273,0.04821096955003228,-0.050641573105907556
177,-0.0009257298820518622,0.051553736696650365,-0.05247946657870223
178,0.0006461663435411713,0.05486734230567297,-0.0542211759621318
179,0.0021665680144085306,0.05784682237410456,-0.05568025435969603
180,0.0034712384537676708,0.06025218138785272,-0.056780942934085046
181,0.004358510562099627,0.06187237814624555,-0.05751386758414592
182,0.004666160038052147,0.0625321835815938,-0.05786602354354166
183,0.004349750031446435,0.06215396584480514,-0.057804215813358706
184,0.003495726583176484,0.06082078223256919,-0.057325055649392706
185,0.0022611407854913543,0.058778246577491984,-0.05651710579200063
186,0.0007932939517610177,0.05636054792832279,-0.05556725397656177
187,-0.0008052345025662683,0.05388324177880636,-0.054688476281372626
188,-0.0024453924538719793,0.05156942963282696,-0.05401482208669894
189,-0.003991798321166286,0.04955010844442991,-0.0535419067655962
190,-0.005232065718520085,0.04792195222999684,-0.05315401794851692
191,-0.00590578241486131,0.046802808181842646,-0.05270859059670396
192,-0.005783938273575165,0.046331725972838154,-0.05211566424641332
193,-0.004767378956068921,0.046607854932664596,-0.05137523388873352
194,-0.0029613583835216978,0.047612713384850645,-0.05057407176837234
195,-0.0006776842667498839,0.04917843611939146,-0.049856120386141345
196,0.0016586306898691283,0.051037200844191784,-0.049378570154322655
197,0.003657474664028708,0.05292724227879102,-0.04926976761476231
198,0.005076199288515548,0.05468015974419708,-0.04960396045568153
199,0.005834018516702191,0.05622244059125785,-0.050388422074555655
