bin_key,n,no_op_count,damp_low_band_count,majority_action,minority_fraction,evaluated,fiber_incompatible
-28;-12;-13;170;-1;31;-42;2;163;5;-5;0;17;88;-18;11;6;0;27;90;-1;45;-6;0;0;0;22;13;2;-1;1;3;-8;-3;-1;2;3;-2;0;1;23;1;-2;-3;2;-2;0;2;-1;-1;-1;2;0;3;1;0;2;0;0;2;1;4;0;-1;-1;12;3;3;2;1;1;-1,1,0,1,damp_low_band,0.0,False,False
-28;-14;-15;167;-2;31;-42;1;163;4;-4;-1;17;87;-18;10;6;-1;27;89;-1;44;-6;0;0;0;21;14;2;-1;1;3;-8;-3;-1;2;4;-1;0;1;23;1;-2;-3;2;-1;0;2;-1;-1;-1;2;0;3;1;0;2;0;0;2;0;4;0;-1;-1;12;3;3;2;1;1;-1,1,0,1,damp_low_band,0.0,False,False
-28;-24;-19;128;-15;16;-40;2;164;-2;-3;1;16;76;-22;-5;3;-6;27;77;-4;35;-6;10;0;0;15;9;2;0;-1;1;-7;4;0;0;3;3;1;0;23;-3;-4;-1;1;1;2;0;-1;-1;0;1;0;2;2;-1;1;-2;0;1;1;2;0;0;0;12;3;3;2;-1;1;0,1,0,1,damp_low_band,0.0,False,False
-28;-27;-15;151;-14;24;-38;6;162;0;-3;-2;15;77;-21;5;4;-12;31;77;-3;39;-6;4;1;-1;17;12;2;0;0;1;-5;2;0;2;3;1;1;0;23;0;-3;-3;2;0;1;2;-1;-1;0;2;0;2;2;-1;0;-1;0;1;1;3;0;-1;0;12;3;3;2;0;1;0,1,0,1,damp_low_band,0.0,False,False
-28;1;-14;122;-13;0;-50;5;163;1;-11;-3;13;81;-23;-5;4;6;27;82;-1;34;-10;12;0;0;17;3;3;1;-1;-1;-10;4;0;0;3;1;1;0;25;-1;-4;1;2;0;2;-1;-1;0;0;2;-1;2;2;0;2;-1;1;2;0;3;0;0;-1;11;3;3;2;0;1;0,1,0,1,damp_low_band,0.0,False,False
-28;2;-10;123;-19;0;-51;5;161;1;-15;-4;12;82;-22;-5;4;7;31;82;0;34;-10;12;1;1;19;4;4;1;-1;-1;-8;3;-1;0;3;0;1;0;25;-1;-4;1;1;0;2;-1;-1;0;0;2;-1;2;2;0;2;-1;1;2;0;3;0;0;-1;11;3;3;2;0;0;0,1,0,1,damp_low_band,0.0,False,False
-29;-26;-19;130;-14;17;-39;3;165;-1;-5;1;16;75;-22;-4;3;-8;28;76;-3;35;-6;9;0;0;16;10;2;0;-2;1;-7;4;0;0;3;3;1;0;23;-2;-4;-1;1;1;2;0;-1;-1;0;1;0;2;2;-1;1;-1;0;2;1;2;0;0;1;12;3;3;2;-1;1;0,1,0,1,damp_low_band,0.0,False,False
-29;-27;-19;132;-13;19;-38;3;166;-1;-6;0;16;75;-22;-3;2;-10;28;76;-3;36;-6;8;0;0;16;11;2;0;-1;0;-6;4;0;0;3;2;0;0;23;-2;-4;-1;2;1;2;0;-1;-1;0;1;0;2;2;-1;1;-1;0;2;1;2;0;0;1;12;3;3;2;-1;1;0,1,0,1,damp_low_band,0.0,False,False
-29;-2;-10;178;4;28;-42;2;167;8;-10;2;18;92;-15;14;6;5;27;94;2;45;-4;-2;0;0;24;11;2;-1;1;3;-8;-5;-1;3;2;-3;0;1;22;2;-2;-3;1;-2;-1;2;-1;0;-1;3;0;3;2;0;1;1;0;2;1;4;0;-1;0;12;3;3;3;1;0;-1,1,0,1,damp_low_band,0.0,False,False
-29;-6;-11;175;2;29;-42;2;165;7;-8;1;18;91;-16;14;7;3;27;93;1;45;-5;-1;0;0;23;12;2;-1;1;3;-8;-5;-1;3;2;-3;0;1;22;2;-2;-3;1;-2;-1;2;-1;0;-1;3;0;3;2;0;1;1;0;2;1;4;0;-1;-1;12;3;3;2;1;0;-1,1,0,1,damp_low_band,0.0,False,False
-29;-9;-12;173;0;30;-42;2;164;6;-7;1;17;89;-17;13;7;2;28;92;0;45;-5;-1;0;0;23;13;2;-1;1;3;-8;-4;-1;2;3;-2;0;1;22;1;-2;-3;1;-2;0;2;-1;0;-1;2;0;3;2;0;1;0;0;2;1;4;0;-1;-1;12;4;3;2;1;0;-1,1,0,1,damp_low_band,0.0,False,False
-29;17;-17;136;5;-5;-16;-5;174;2;-1;7;18;90;-15;-3;1;18;27;89;-2;37;-5;7;-1;1;17;0;1;-1;0;0;-6;-2;1;0;2;-1;-2;2;23;0;-3;1;2;-2;2;-1;-1;0;0;3;1;2;1;-1;0;1;1;1;1;4;0;0;0;11;2;4;2;1;1;-1,1,1,0,no_op,0.0,False,False
-29;1;-14;122;-11;-1;-49;5;163;1;-10;-3;13;81;-23;-5;4;6;26;82;-1;34;-9;12;0;0;18;3;3;1;0;-1;-10;4;0;0;3;1;1;0;24;-1;-4;1;2;0;2;-1;-1;0;0;2;0;2;2;0;3;-1;1;2;0;3;0;0;-1;11;3;3;2;0;1;0,1,0,1,damp_low_band,0.0,False,False
-29;30;-11;143;-3;-11;-2;-17;176;-4;3;1;15;95;-16;1;3;23;31;93;-2;40;1;5;0;3;17;4;2;0;0;1;-1;-1;2;-1;2;-2;-1;2;21;0;-3;1;1;-2;1;0;0;0;1;2;1;2;2;0;0;-1;0;1;1;3;0;0;0;11;2;4;3;1;1;-2,1,1,0,no_op,0.0,False,False
-29;33;0;152;-28;4;-40;-10;166;6;-7;7;19;101;-15;7;-8;22;30;103;3;39;-1;3;3;2;17;6;2;-3;2;1;0;-2;1;-1;0;-3;1;0;22;0;-5;-1;0;-1;2;1;-1;0;1;2;0;4;2;-1;0;-1;0;2;2;4;0;-1;0;12;2;4;3;1;0;0,1,1,0,no_op,0.0,False,False
-29;41;-6;150;4;-15;-2;-13;177;-1;13;-5;16;96;-15;-1;8;16;28;92;0;39;2;2;0;2;18;1;1;-2;0;0;1;0;2;-1;1;-3;0;1;23;1;-3;0;0;-2;2;0;-1;0;0;2;1;2;1;0;0;0;1;1;2;3;0;0;0;12;2;4;3;1;0;-1,1,1,0,no_op,0.0,False,False
-29;4;-13;127;-14;6;-42;4;167;3;-13;-1;13;84;-19;-3;3;7;29;84;-1;36;-9;11;0;1;20;4;3;0;-2;-1;-8;3;0;1;3;0;0;0;25;-1;-4;1;2;0;2;-1;-1;0;-1;2;0;2;2;0;2;-1;1;2;0;3;0;0;-1;11;3;3;2;0;1;0,1,0,1,damp_low_band,0.0,False,False
