bin_key,n,no_op_count,damp_low_band_count,majority_action,minority_fraction,evaluated,fiber_incompatible
12;87;29;206;42;60;55;51;211;12;26;33;25;113;13;24;20;36;44;114;15;53;14;7;8;3;20;9;5;3;12;15;11;5;5;6;4;3;7;11;25;7;3;2;1;0;3;5;1;0;4;3;2;3;3;5;1;2;1;2;2;4;3;1;2;14;3;3;4;1;0;1,2,0,2,damp_low_band,0.0,False,False
12;87;58;79;36;62;63;63;211;12;35;16;31;77;41;20;26;11;40;79;20;32;27;22;8;3;23;16;5;6;16;10;15;9;5;2;5;7;8;7;24;4;8;6;1;4;1;3;1;0;3;4;1;3;3;5;1;2;1;2;2;4;3;1;2;14;4;4;3;0;0;0,2,0,2,damp_low_band,0.0,False,False
12;87;60;235;42;56;58;48;211;11;35;32;34;121;21;34;11;28;34;121;24;50;23;6;7;3;23;16;4;3;16;10;15;9;4;6;3;4;8;7;24;4;6;1;1;4;0;3;1;0;3;2;2;3;3;3;3;1;1;2;2;4;1;1;1;14;3;3;3;0;1;3,2,0,2,damp_low_band,0.0,False,False
12;87;70;239;42;57;58;46;211;12;37;32;37;122;24;35;11;25;32;122;26;48;25;6;8;3;25;16;4;3;16;8;15;10;4;6;2;4;8;6;25;3;7;1;1;4;0;3;1;0;3;2;2;3;3;3;3;2;1;2;2;4;1;1;0;13;4;4;3;0;2;2,2,0,2,damp_low_band,0.0,False,False
12;87;78;242;42;54;60;47;211;11;38;29;39;123;27;36;10;22;29;122;26;46;27;8;7;3;27;16;4;3;15;7;15;11;4;6;2;5;7;5;26;3;7;2;2;5;0;2;1;0;2;2;2;3;3;3;3;2;1;2;2;4;1;1;1;13;4;4;3;0;2;2,2,0,2,damp_low_band,0.0,False,False
12;87;90;68;34;61;66;64;211;12;40;22;40;74;38;30;16;13;32;75;26;37;30;15;8;3;19;11;5;6;13;14;12;5;4;2;3;6;7;10;24;6;9;4;1;1;2;5;1;0;2;3;1;3;2;4;2;3;1;2;2;4;2;2;2;13;4;4;4;1;2;0,2,0,2,damp_low_band,0.0,False,False
13;85;111;67;31;55;70;66;210;13;42;28;46;74;32;33;12;17;26;73;27;42;30;10;8;3;21;7;4;6;9;14;9;5;4;2;2;5;6;11;26;8;8;3;2;0;4;4;1;0;2;2;1;3;2;4;3;3;1;2;2;4;2;2;1;13;4;4;4;1;3;1,2,0,2,damp_low_band,0.0,False,False
13;85;137;239;44;57;65;40;210;13;41;17;55;120;40;24;22;11;13;120;23;34;30;20;8;3;29;7;3;3;7;7;7;12;2;5;4;7;2;8;29;5;9;6;5;2;4;1;1;0;3;4;2;3;3;4;1;3;1;2;2;4;3;1;2;13;3;4;3;1;0;0,2,0,2,damp_low_band,0.0,False,False
13;85;146;77;33;52;75;63;209;13;36;36;56;77;22;33;12;27;16;75;24;50;24;4;8;3;27;5;3;6;6;9;6;10;4;2;3;4;3;9;28;6;6;1;5;1;5;2;1;0;3;2;1;2;3;3;2;1;1;2;2;4;1;1;1;14;4;4;3;1;1;3,2,0,2,damp_low_band,0.0,False,False
13;85;16;177;37;64;52;56;210;13;19;28;22;105;15;15;29;35;49;107;8;49;10;13;8;3;24;5;5;4;7;12;7;7;5;5;6;3;4;11;27;7;2;4;4;0;5;3;1;0;2;4;2;3;2;4;2;3;1;2;2;4;2;2;2;13;3;4;3;1;1;0,2,0,2,damp_low_band,0.0,False,False
