beta,config_idx,W11_mean_diff_vs_v0,W11_var_diff_vs_v0,W12_mean_diff_vs_v0,W12_var_diff_vs_v0,W13_mean_diff_vs_v0,W13_var_diff_vs_v0,W22_mean_diff_vs_v0,W22_var_diff_vs_v0,max_abs_residual
2.4,7,2.091660178394e-13,-1.747907374394e-13,-2.404743071338e-13,3.544387006116e-13,2.388367281725e-13,-3.071709553382e-13,3.454458941121e-13,-3.011479954296e-14,3.544387006116e-13
2.4,8,1.110223024625e-15,-1.808692084992e-13,3.140820936665e-13,-4.385380947269e-14,5.123679258645e-14,2.585986980108e-13,4.987676938129e-14,1.580124919798e-13,3.140820936665e-13
2.4,9,1.958433415439e-13,-2.268879528700e-13,-3.664291092775e-13,-1.311728503595e-13,-3.372302437299e-14,2.642608354364e-13,-2.786798569687e-13,4.480305015875e-13,4.480305015875e-13
2.4,10,-2.677857935396e-13,3.331779296900e-13,1.412203687323e-13,1.487421297242e-13,2.575439861374e-13,-1.588729148239e-13,4.946598686217e-13,-3.467781617417e-13,4.946598686217e-13
2.4,11,-2.593480985524e-13,3.519406988062e-13,2.819966482548e-13,-4.784228568866e-13,-3.520517211086e-13,-3.605171716714e-13,3.533978665260e-13,4.654610030741e-14,4.784228568866e-13
2.4,12,1.045830089197e-13,-1.224992329796e-13,-4.349298698969e-13,-1.532662885495e-13,-4.884981308351e-14,2.545463839709e-13,4.541089726473e-13,2.992328607121e-13,4.541089726473e-13
2.4,13,-1.036948305000e-13,-2.094990847468e-13,-9.270362255620e-15,-4.866662628444e-13,-1.349753642188e-13,4.904965322794e-13,3.022720962420e-13,1.786348846622e-13,4.904965322794e-13
2.4,14,-9.425793479068e-14,-2.515349040166e-13,-5.773159728051e-15,-8.348877145181e-14,3.852196339693e-13,-1.085243006571e-13,-8.748557434046e-14,-5.004330283498e-14,3.852196339693e-13
2.4,15,-3.135269821541e-13,-9.398037903452e-14,-5.995204332976e-15,5.068168107414e-14,-4.722611190999e-13,-4.547751064621e-13,3.289452044086e-13,4.174438572591e-13,4.722611190999e-13
2.4,16,2.546851618490e-13,-3.364392098248e-13,4.798383912430e-13,-2.648714580999e-13,3.370637102762e-13,2.060573933704e-13,-1.759425938275e-13,-3.310407503676e-13,4.798383912430e-13
2.4,17,-3.663735981263e-13,4.194700142790e-13,2.060018822192e-13,-1.946220962168e-13,-3.607392162763e-13,3.969602424547e-13,-4.218847493576e-13,4.918843110602e-13,4.918843110602e-13
2.4,18,6.550315845288e-15,-3.684275107219e-13,-9.986456106503e-14,3.577693696855e-13,2.657596365196e-13,-2.708389068573e-13,4.574951528724e-13,5.387357226994e-14,4.574951528724e-13
2.4,19,4.237721284994e-13,2.644412466779e-13,-3.755329380795e-13,-3.582134588953e-13,4.208577930598e-13,2.043087921066e-13,-4.537481501643e-13,4.176936574396e-13,4.537481501643e-13
2.4,20,1.776356839400e-13,2.225997164373e-13,-3.030353745714e-13,3.202993426044e-14,3.735067810595e-13,-1.587618925214e-14,-1.582067810091e-13,4.600486658290e-13,4.600486658290e-13
2.4,21,4.736211423051e-13,-4.254790963998e-13,4.231059946846e-13,-4.422295862838e-13,3.693989558684e-13,1.754707490420e-13,4.693329058725e-13,8.071321389025e-14,4.736211423051e-13
2.4,22,-7.960299086562e-14,-5.911937606129e-15,-1.594280263362e-13,-2.247646513354e-13,-5.190292640123e-15,4.904965322794e-13,-7.502332088904e-14,-1.866007348639e-13,4.904965322794e-13
2.4,23,-3.892441924336e-13,1.381811332024e-13,2.518540931362e-13,-2.952915689747e-13,6.439293542826e-15,3.637645740184e-13,-3.663180869751e-13,-1.033062524414e-13,3.892441924336e-13
2.4,24,1.976196983833e-13,4.232864059261e-13,2.486899575160e-14,1.729172360854e-13,2.336464355324e-13,1.531275106714e-13,-4.225786387480e-13,-1.813826866481e-13,4.232864059261e-13
2.4,25,2.750022431997e-13,7.910339050454e-14,-4.224398608699e-13,8.451572774959e-14,-8.010259122671e-14,-4.837241718292e-13,-3.365779877029e-13,-8.135159212941e-14,4.837241718292e-13
2.4,26,3.622657729352e-13,-1.743327704418e-13,1.839084440292e-13,-4.761746552617e-13,-2.692568390472e-13,1.835753771218e-13,-4.607564330072e-13,-2.053357484044e-13,4.761746552617e-13
2.4,27,-2.808864252302e-14,-8.518186156437e-14,-2.814970478937e-13,-1.125488591214e-13,1.594557819118e-13,6.855627177060e-15,7.961686865343e-14,-3.413103133454e-13,3.413103133454e-13
